"Varietas","fosfor","boron","Warna","rasa","teknik","Musim","Penyakit","PH","Grade_mutu"
"0","0.9537037037037","0.99603174603175","0.33333333333333","0","1","1","0.75","1","1"
"1","0.93518518518518","0.001984126984127","1","1","0","0","0.75","0","3"
"0.4","0.047024705615548","0.59737830993349","1","0","0","1","1","0.33333333333333","1"
"0.8","0.018518518518517","0.40079365079365","1","1","1","0","0.75","0.66666666666667","2"
"0.4","0.93518518518518","0.59920634920635","1","0","0","1","0.25","1","3"
"1","0.046553076643757","5.5024360170186E-5","0","1","1","1","0.75","1","0"
"0.4","0.046296296296296","0.59722222222222","1","0","1","0","0.25","0","3"
"0.4","0.95680163251926","0.5985425073173","1","0","1","0","1","0.66666666666667","1"
"1","0.037037037037036","0.001984126984127","1","1","0","0","1","0","1"
"0.4","0.018518518518517","0.59920634920635","1","0","0","1","0.5","0.33333333333333","3"
"0.4","0.93518518518518","0.59920634920635","1","0","0","1","0","0.33333333333333","3"
"1","0.0092592592592586","0","0","1","1","1","0.25","0.33333333333333","1"
"0.2","0.94444444444444","0.79761904761905","0.66666666666667","1","0","0","0.25","0","2"
"0.8","0.97222222222222","0.4047619047619","1","1","0","1","0.75","1","2"
"1","0.018518518518517","0.00011331175812368","0","1","1","1","0.25","1","0"
"0.8","0.95739032944308","0.40318192230217","1","1","0","1","0","0.33333333333333","3"
"1","0.99601049911523","0.00021372326168395","1","1","0","0","0.5","0","3"
"1","0.95031205444416","0.003968253968254","0","1","1","1","0.75","1","0"
"0.2","0.96296296296296","0.79761904761905","0.66666666666667","1","0","0","0.75","0.66666666666667","1"
"0.2","0.0092592592592586","0.8015873015873","0.66666666666667","1","0","0","0.75","0.66666666666667","1"
"0.4","0.055555555555554","0.6031746031746","1","0","0","1","1","1","1"
"0.8","0.93518518518518","0.40079365079365","1","1","0","1","0","1","2"
"0.4","0.0092592592592586","0.59920634920635","1","0","0","1","0.5","0.33333333333333","3"
"0.2","0.037037037037036","0.79563492063492","0.66666666666667","1","0","0","0.25","0.66666666666667","1"
"0.8","0.9537037037037","0.40079365079365","1","1","1","0","0.5","0.66666666666667","2"
"1","0.042564446090917","0","0","1","1","1","0.25","1","0"
"1","0.018518518518517","0.005952380952381","1","1","0","0","0.5","0.66666666666667","2"
"1","0.96296296296296","0","0","1","1","1","0.75","1","0"
"1","0.94444444444444","0","1","1","0","0","0.75","0.66666666666667","2"
"1","0.9537037037037","0.0041354982485855","0","1","1","1","0.25","1","0"
"1","0.97222222222222","0.001984126984127","0","1","1","1","1","1","1"
"0.8","0.93518518518518","0.40079365079365","1","1","1","0","1","0","1"
"0.8","0.018518518518517","0.39880952380952","1","1","1","0","0","0","2"
"0.8","0.93566031475141","0.39880952380952","1","1","1","0","0.25","0","3"
"0.6","0","0.20039682539683","1","0","1","1","1","1","1"
"0.6","0.96423732972971","0.20039682539683","1","0","1","1","0","0.33333333333333","3"
"0.4","0.9537037037037","0.59920634920635","1","0","0","1","1","1","1"
"0.2","0.94444444444444","0.79761904761905","0.66666666666667","1","0","0","0.5","0","2"
"0.4","0.97222222222222","0.59920634920635","1","0","0","1","0.75","1","2"
"0.4","0.046296296296296","0.59889312917173","1","0","1","0","0.75","0","3"
"1","0.041560589270485","0.005952380952381","0","1","1","1","0.75","1","0"
"1","0.055555555555554","0.005952380952381","1","1","0","0","0","0.66666666666667","2"
"0.6","0.96296296296296","0.20039682539683","1","0","0","0","0.25","0.66666666666667","1"
"1","0.96312530023401","0.0040030405263353","1","1","0","0","1","0","1"
"0","0.97222222222222","0.99801587301587","0.33333333333333","0","0","0","0","0","2"
"0.2","0.037037037037036","0.79761904761905","0.66666666666667","1","1","1","0.5","0.33333333333333","2"
"1","0.94706348533938","0","0","1","1","1","0.25","1","0"
"0.8","0.94444444444444","0.39880952380952","1","1","1","0","1","0.66666666666667","1"
"0.8","0.0092592592592586","0.39919387723563","1","1","1","0","0.25","0","3"
"1","0.9355176677406","0.003968253968254","0","1","1","1","0.25","1","0"
"0","0.96296296296296","1","0.33333333333333","0","1","1","0.75","0.33333333333333","2"
"0.6","0.018518518518517","0.20238095238095","1","0","1","1","1","0.33333333333333","1"
"1","0.018518518518517","0.003968253968254","0","1","1","1","1","1","1"
"0.8","0.046296296296296","0.40079365079365","1","1","1","0","0.75","0","3"
"0.6","0.93518518518518","0.20436507936508","1","0","0","0","0","0","2"
"0.8","0.94444444444444","0.4047619047619","1","1","1","0","0","0.66666666666667","2"
"0.6","0.96639323414967","0.20039682539683","1","0","1","1","0.25","0.33333333333333","3"
"1","0.046296296296296","0","0","1","1","1","0.25","0.33333333333333","1"
"0.4","0.046296296296296","0.59722222222222","1","0","0","1","0.5","1","2"
"0.8","0.94444444444444","0.39880952380952","1","1","1","0","0","0.66666666666667","2"
"1","0.99058020777874","0","1","1","0","0","0.5","0","3"
"0.6","0.9537037037037","0.20436507936508","1","0","1","1","0.5","1","2"
"0.6","0.97222222222222","0.20039682539683","1","0","1","1","0.75","1","1"
"1","0.018518518518517","0","1","1","0","0","0.5","0","3"
"0.4","0.96748419598894","0.59819105787065","1","0","0","1","1","0.33333333333333","1"
"0.8","0.037037037037036","0.40079365079365","1","1","1","0","1","0","1"
"1","0.95378953257415","0.0039774499186589","0","1","1","1","0.25","1","0"
"1","0.9537037037037","0.001016315708401","0","1","1","1","0.25","1","0"
"1","0.039165527838763","0.001984126984127","0","1","1","1","0.75","1","0"
"0","0.94444444444444","1","0.33333333333333","0","0","0","0.75","0.66666666666667","1"
"1","0.046296296296296","0.00010173050996062","0","1","1","1","0.25","1","0"
"0.4","0.037037037037036","0.59722222222222","1","0","1","0","0.75","0.66666666666667","2"
"1","0.9461293107733","0.001984126984127","0","1","1","1","0.25","1","0"
"1","0.055555555555554","0.003968253968254","0","1","1","1","0","1","1"
"0.4","0.046296296296296","0.59920634920635","1","0","1","0","1","0","1"
"0.4","0.93518518518518","0.59920634920635","1","0","1","0","0.75","0.66666666666667","2"
"0.6","0.93518518518518","0.20436507936508","1","0","0","0","0.25","0.66666666666667","1"
"0.2","0.96296296296296","0.79761904761905","0.66666666666667","1","0","0","0.25","0.66666666666667","1"
"1","0.96296296296296","0.005952380952381","0","1","1","1","0.5","1","1"
"1","0.040612214177163","0.005952380952381","0","1","1","1","0.75","1","0"
"0.6","0.97222222222222","0.20238095238095","1","0","0","0","0.75","0.66666666666667","1"
"0","0.96296296296296","1","0.33333333333333","0","1","1","0.5","0.33333333333333","2"
"0.8","0.94444444444444","0.39880952380952","1","1","1","0","0.25","0","3"
"1","0.94224343444687","0.0034966089687745","1","1","0","0","0.5","0","3"
"0.8","0.93518518518518","0.40079365079365","1","1","0","1","0.75","1","2"
"0.2","0.055555555555554","0.79761904761905","0.66666666666667","1","0","0","0.25","0.66666666666667","1"
"0.4","0.018518518518517","0.59722222222222","1","0","1","0","0.5","0.66666666666667","2"
"0","0.027777777777778","0.99404761904762","0.33333333333333","0","1","1","1","1","1"
"1","0.042059064535834","0","0","1","1","1","0.75","1","0"
"0.4","0.027777777777778","0.59857679852466","1","0","0","1","1","0.33333333333333","1"
"0.4","0.97222222222222","0.59920634920635","1","0","0","1","0","1","2"
"0.2","0.018518518518517","0.79761904761905","0.66666666666667","1","0","0","0.25","0.66666666666667","1"
"1","0.94219501911913","0.0034862342556858","0","1","1","1","0.25","1","0"
"0.8","0.93518518518518","0.40079365079365","1","1","0","1","1","0.33333333333333","1"
"0.4","0.9537037037037","0.59722222222222","1","0","0","1","0.25","0.33333333333333","3"
"0.8","0.027777777777778","0.4047619047619","1","1","1","0","1","0.66666666666667","1"
"0.2","0.018518518518517","0.79563492063492","0.66666666666667","1","1","1","0.25","1","1"
"1","0.94444444444444","0.003968253968254","1","1","0","0","0.5","0.66666666666667","2"
"0.8","0.96296296296296","0.40079365079365","1","1","0","1","0.75","1","2"
"0.8","0.018518518518517","0.40079365079365","1","1","1","0","0.5","0","2"
"0.8","0.95968079002081","0.39880952380952","1","1","1","0","0.25","0","3"
"0.2","0.027777777777778","0.001984126984127","0.66666666666667","1","0","0","0.25","0.66666666666667","1"
"0.6","0.96296296296296","0.20238095238095","1","0","0","0","0.25","0","2"
"1","0.97222222222222","0","1","1","0","0","0.75","0","3"
"1","0.025613926038705","0","1","1","0","0","0.5","0","3"
"0.4","0.027777777777778","0.59839351757583","1","0","0","1","0.75","0.33333333333333","3"
"0.6","0.96662486456343","0.20039682539683","1","0","1","1","0.25","0.33333333333333","3"
