"Varietas","fosfor","boron","Warna","rasa","teknik","Musim","Penyakit","PH","Grade_mutu"
"0.4","0.018518518518517","0.59722222222222","1","0","0","1","1","1","1"
"0.4","0.027777777777778","0.59838524057299","1","0","1","0","0.75","0","3"
"1","0.037037037037036","0.003968253968254","0","1","1","1","1","1","1"
"0.6","0.027777777777778","0.20238095238095","1","0","1","1","0.25","1","2"
"1","0.0092592592592586","0.00035575505783383","0","1","1","1","0.75","1","0"
"0.4","0.93590242459522","0.59722222222222","1","0","0","1","0.75","0.33333333333333","3"
"0.2","0.037037037037036","0.79365079365079","0.66666666666667","1","1","1","0.5","1","2"
"0","0.037037037037036","0.99404761904762","0.33333333333333","0","0","0","0","0.66666666666667","2"
"0.8","0.9537037037037","0.4047619047619","1","1","1","0","0.25","0.66666666666667","2"
"0.8","0.97222222222222","0.39880952380952","1","1","1","0","0.5","0","2"
"1","0.045728588091276","0.001984126984127","0","1","1","1","0.75","1","0"
"1","0.94444444444444","0.0029789744529824","0","1","1","1","0.25","1","0"
"1","0.97222222222222","0","0","1","1","1","0.5","0.33333333333333","2"
"1","0.95203284932249","0.0043262941927989","0","1","1","1","0.75","1","0"
"0","0.96296296296296","0.99603174603175","0.33333333333333","0","0","0","0.5","0.66666666666667","2"
"0.8","0.94035855883166","0.40079365079365","1","1","0","1","0.5","0.33333333333333","3"
"1","0.018518518518517","0.0050650883097694","0","1","1","1","0.25","1","0"
"0","0.055555555555554","0.99404761904762","0.33333333333333","0","1","1","0.75","1","1"
"0","0.94444444444444","0.99404761904762","0.33333333333333","0","1","1","0","0.33333333333333","2"
"0.6","0.96296296296296","0.20039682539683","1","0","0","0","0.5","0.66666666666667","2"
"1","0.96874067905698","0","0","1","1","1","0.75","1","0"
"1","0.96296296296296","0.001984126984127","0","1","1","1","0","0.33333333333333","2"
"1","0.046296296296296","0.0057190224602342","0","1","1","1","0.75","1","0"
"1","0.94444444444444","0.0045858713846518","0","1","1","1","0.25","1","0"
"1","0.96932998468268","0","0","1","1","1","0.75","1","0"
"0.6","0.0092592592592586","0.20436507936508","1","0","1","1","0","1","2"
"0.6","0.041063882543454","0.20125972086249","1","0","1","1","0.5","0.33333333333333","3"
"0","0.94444444444444","1","0.33333333333333","0","0","0","0.25","0.66666666666667","1"
"0.8","0.0092592592592586","0.40079365079365","1","1","0","1","1","1","1"
